"LtProbB","UTS"
-100,5
-100,10
-100,15
-100,20
-100,25
-100,30
-100,35
-100,40
-100,45
-150,5
-150,10
-150,15
-150,20
-150,25
-150,30
-150,35
-150,40
-150,45
-200,5
-200,10
-200,15
-200,20
-200,25
-200,30
-200,35
-200,40
-200,45
-250,5
-250,10
-250,15
-250,20
-250,25
-250,30
-250,35
-250,40
-250,45
-300,5
-300,10
-300,15
-300,20
-300,25
-300,30
-300,35
-300,40
-300,45
-350,5
-350,10
-350,15
-350,20
-350,25
-350,30
-350,35
-350,40
-350,45
-400,5
-400,10
-400,15
-400,20
-400,25
-400,30
-400,35
-400,40
-400,45
